timestamp,total_bytes,throughput_mbps,dst_ip_entropy,avg_fan_out
1770113084935,11602183,2.213,3.933,1.91
1770113085032,11602183,2.213,3.933,1.91
1770113087893,16065282,3.064,3.924,1.93
1770113087963,16065282,3.064,3.924,1.93
1770113089795,16065282,3.064,3.924,1.93
1770113089886,16065282,3.064,3.924,1.93
1770113094804,19513515,3.722,3.945,1.93
1770113099796,21485324,4.098,3.892,1.86
1770113102692,21615691,4.123,3.876,1.88
1770113102747,21615691,4.123,3.876,1.88
1770113167119,14997343,2.861,3.815,1.79
1770113167183,14997343,2.861,3.815,1.79
1770113169399,14997343,2.861,3.815,1.79
1770113169483,14997343,2.861,3.815,1.79
1770113174402,17250797,3.29,3.807,1.79
1770113657094,21644200,4.128,3.7,1.89
1770113657157,21644200,4.128,3.7,1.89
1770113658230,21644200,4.128,3.7,1.89
1770113658303,21644200,4.128,3.7,1.89
1770113661801,21353329,4.073,3.738,1.8
1770113661874,21353329,4.073,3.738,1.8
1770113666808,23676489,4.516,3.799,1.84
1770113671790,22059507,4.208,3.793,1.85
1770113676814,22072368,4.21,3.829,1.88
1770113681794,21814972,4.161,3.849,1.9
1770113686812,21815073,4.161,3.837,1.9
1770113691799,21757030,4.15,3.825,1.9
1770113697603,21762307,4.151,3.801,1.9
1770113702583,17192125,3.279,3.74,1.88
1770113707591,17114126,3.264,3.778,1.86
1770113712589,8355443,1.594,3.774,1.84
1770113717589,10416036,1.987,3.744,1.86
